gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4901936763	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/393906865/original.jpg	https://www.inaturalist.org/photos/393906865					2024-06-12T18:06:03Z	biancasiele		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	biancasiele
4901809593	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397249320/original.jpeg	https://www.inaturalist.org/photos/397249320					2024-06-21T02:04:40Z	Bruno Henrique Aranda		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bruno Henrique Aranda
4901717116	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397689562/original.jpeg	https://www.inaturalist.org/photos/397689562					2024-06-22T16:55:20Z	marina_ambiente		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	marina_ambiente
4901717116	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397689655/original.jpeg	https://www.inaturalist.org/photos/397689655					2024-06-22T16:53:11Z	marina_ambiente		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	marina_ambiente
4901717116	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397689603/original.jpeg	https://www.inaturalist.org/photos/397689603					2024-06-22T16:53:49Z	marina_ambiente		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	marina_ambiente
4901717116	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397689694/original.jpeg	https://www.inaturalist.org/photos/397689694					2024-06-22T16:53:04Z	marina_ambiente		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	marina_ambiente
4901702951	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397075478/original.jpeg	https://www.inaturalist.org/photos/397075478					2024-06-20T16:29:22Z	Gabriel O. Keller		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gabriel O. Keller
4901670069	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397903893/original.jpeg	https://www.inaturalist.org/photos/397903893					2024-06-22T16:29:40Z	Gabriel lima		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gabriel lima
4901621525	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395856574/original.jpg	https://www.inaturalist.org/photos/395856574					2024-06-17T15:10:20Z	allygran		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	allygran
4901621525	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395856614/original.jpg	https://www.inaturalist.org/photos/395856614					2024-06-17T15:10:20Z	allygran		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	allygran
4901609257	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/398142113/original.jpeg	https://www.inaturalist.org/photos/398142113					2024-06-23T15:28:13Z	Frederico Acaz Sonntag		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Frederico Acaz Sonntag
4901576450	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/394144606/original.jpeg	https://www.inaturalist.org/photos/394144606					2024-06-12T22:56:39Z	Adriano Luiz de Faria		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adriano Luiz de Faria
4901576450	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/394144373/original.jpeg	https://www.inaturalist.org/photos/394144373					2024-06-12T22:56:44Z	Adriano Luiz de Faria		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adriano Luiz de Faria
4901576450	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/394144553/original.jpeg	https://www.inaturalist.org/photos/394144553					2024-06-12T22:56:34Z	Adriano Luiz de Faria		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adriano Luiz de Faria
4901566608	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395523005/original.jpeg	https://www.inaturalist.org/photos/395523005					2024-06-16T18:09:55Z	Bruno Henrique Aranda		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bruno Henrique Aranda
4901401129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395523051/original.jpeg	https://www.inaturalist.org/photos/395523051					2024-06-16T18:10:07Z	Bruno Henrique Aranda		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bruno Henrique Aranda
4901401129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395523093/original.jpeg	https://www.inaturalist.org/photos/395523093					2024-06-16T18:10:08Z	Bruno Henrique Aranda		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bruno Henrique Aranda
4901401129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395523036/original.jpeg	https://www.inaturalist.org/photos/395523036					2024-06-16T18:10:05Z	Bruno Henrique Aranda		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bruno Henrique Aranda
4901401129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395523073/original.jpeg	https://www.inaturalist.org/photos/395523073					2024-06-16T18:10:06Z	Bruno Henrique Aranda		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bruno Henrique Aranda
4901401129	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/395523006/original.jpeg	https://www.inaturalist.org/photos/395523006					2024-06-16T18:10:03Z	Bruno Henrique Aranda		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bruno Henrique Aranda
4901377642	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/392564012/original.jpeg	https://www.inaturalist.org/photos/392564012					2024-06-05T18:35:21Z	Paula Romano		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula Romano
4901377642	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/392563911/original.jpeg	https://www.inaturalist.org/photos/392563911					2024-06-05T18:34:57Z	Paula Romano		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula Romano
